Date,Player Name,Minutes Played,Goal Scored,Assisted Goal,In Winning Team,Game Type,Got Injured,Opponent Name,Team Score,Opponent Score
01/01/2023,Zoe Adams,57,False,False,False,Drill,False,N/A,0,0
01/01/2023,Yara Singh,40,False,False,False,Drill,False,N/A,0,0
01/01/2023,Frank White,40,False,False,False,Drill,False,N/A,0,0
01/01/2023,Bob Johnson,25,False,False,False,Drill,False,N/A,0,0
01/01/2023,Ivy King,25,False,False,False,Drill,False,N/A,0,0
01/01/2023,Eve Adams,32,False,False,False,Drill,False,N/A,0,0
01/01/2023,Rachel Ward,31,False,False,False,Drill,False,N/A,0,0
01/01/2023,Harry Davis,42,False,False,False,Drill,False,N/A,0,0
01/01/2023,Mia Clark,51,False,False,False,Drill,False,N/A,0,0
01/01/2023,Charlie Brown,59,False,False,False,Drill,False,N/A,0,0
01/01/2023,Alice Smith,37,False,False,False,Drill,False,N/A,0,0
01/01/2023,Ursula Vance,39,False,False,False,Drill,False,N/A,0,0
01/01/2023,Grace Lee,36,False,False,False,Drill,False,N/A,0,0
01/01/2023,Liam Hall,21,False,False,False,Drill,False,N/A,0,0
01/01/2023,Peter Young,30,False,False,False,Drill,False,N/A,0,0
01/01/2023,Quinn Hill,33,False,False,False,Drill,False,N/A,0,0
01/01/2023,Sam Baker,58,False,False,False,Drill,False,N/A,0,0
01/01/2023,Karen Green,33,False,False,False,Drill,True,N/A,0,0
01/01/2023,Diana Prince,39,False,False,False,Drill,False,N/A,0,0
01/01/2023,Jack Wilson,45,False,False,False,Drill,False,N/A,0,0
01/01/2023,Olivia Scott,37,False,False,False,Drill,False,N/A,0,0
01/01/2023,Tina Moore,54,False,False,False,Drill,False,N/A,0,0
01/01/2023,Noah Lewis,59,False,False,False,Drill,False,N/A,0,0
01/01/2023,Victor Stone,49,False,False,False,Drill,False,N/A,0,0
01/02/2023,Tina Moore,51,False,False,True,Real Game,False,Koln,2,0
01/02/2023,Mia Clark,53,False,False,True,Real Game,False,Koln,2,0
01/02/2023,Rachel Ward,85,False,False,True,Real Game,False,Koln,2,0
01/02/2023,Grace Lee,64,False,False,True,Real Game,False,Koln,2,0
01/02/2023,Ursula Vance,80,False,False,True,Real Game,False,Koln,2,0
01/02/2023,Bob Johnson,50,False,False,True,Real Game,False,Koln,2,0
01/02/2023,Alice Smith,58,True,False,True,Real Game,False,Koln,2,0
01/02/2023,Frank White,62,False,False,True,Real Game,False,Koln,2,0
01/02/2023,Karen Green,81,False,False,True,Real Game,False,Koln,2,0
01/02/2023,Liam Hall,62,False,True,True,Real Game,False,Koln,2,0
01/02/2023,Zoe Adams,57,False,False,True,Real Game,False,Koln,2,0
01/05/2023,Jack Wilson,46,False,False,False,Drill,False,N/A,0,0
01/05/2023,Tina Moore,46,False,False,False,Drill,False,N/A,0,0
01/05/2023,Liam Hall,40,False,False,False,Drill,False,N/A,0,0
01/05/2023,Peter Young,26,False,False,False,Drill,False,N/A,0,0
01/05/2023,Zoe Adams,25,False,False,False,Drill,False,N/A,0,0
01/09/2023,Eve Adams,45,False,False,False,Drill,False,N/A,0,0
01/09/2023,Quinn Hill,24,False,False,False,Drill,True,N/A,0,0
01/09/2023,Mia Clark,43,False,False,False,Drill,False,N/A,0,0
01/09/2023,Zoe Adams,46,False,False,False,Drill,False,N/A,0,0
01/09/2023,Karen Green,48,False,False,False,Drill,False,N/A,0,0
01/09/2023,Charlie Brown,20,False,False,False,Drill,False,N/A,0,0
01/09/2023,Ursula Vance,28,False,False,False,Drill,False,N/A,0,0
01/09/2023,Noah Lewis,41,False,False,False,Drill,False,N/A,0,0
01/09/2023,Olivia Scott,28,False,False,False,Drill,False,N/A,0,0
01/09/2023,Victor Stone,43,False,False,False,Drill,False,N/A,0,0
01/09/2023,Frank White,58,False,False,False,Drill,False,N/A,0,0
01/11/2023,Grace Lee,58,True,False,False,Real Game,False,Munich,3,4
01/11/2023,Charlie Brown,60,True,False,False,Real Game,False,Munich,3,4
01/11/2023,Diana Prince,74,False,True,False,Real Game,False,Munich,3,4
01/11/2023,Olivia Scott,45,False,False,False,Real Game,False,Munich,3,4
01/11/2023,Noah Lewis,72,False,False,False,Real Game,False,Munich,3,4
01/11/2023,Mia Clark,49,True,False,False,Real Game,False,Munich,3,4
01/11/2023,Yara Singh,75,False,False,False,Real Game,False,Munich,3,4
01/14/2023,Eve Adams,54,False,False,True,Normal Game,False,Weingarten,1,0
01/14/2023,Charlie Brown,50,False,False,True,Normal Game,False,Weingarten,1,0
01/14/2023,Olivia Scott,47,False,False,True,Normal Game,False,Weingarten,1,0
01/14/2023,Ivy King,66,False,False,True,Normal Game,False,Weingarten,1,0
01/14/2023,Victor Stone,72,False,False,True,Normal Game,False,Weingarten,1,0
01/14/2023,Peter Young,79,False,False,True,Normal Game,False,Weingarten,1,0
01/14/2023,Liam Hall,89,False,False,True,Normal Game,False,Weingarten,1,0
01/14/2023,Yara Singh,74,False,False,True,Normal Game,False,Weingarten,1,0
01/14/2023,Bob Johnson,60,False,False,False,Normal Game,False,Weingarten,1,0
01/14/2023,Ursula Vance,58,False,True,False,Normal Game,False,Weingarten,1,0
01/14/2023,Sam Baker,90,False,False,False,Normal Game,False,Weingarten,1,0
01/14/2023,Tina Moore,58,False,False,False,Normal Game,False,Weingarten,1,0
